Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
عشن,6, عَشَنَ واعْتَشَنَ وعَشَنَ واعْتَشَنَ واعْتَشَنَ واعْتَشَنَني,3,no vowel, *عشن*	 أهْمَله الخليلُ  وحَكى الخارْزَنْجيُّ عَشَنَ بِرَأيِه واعْتَشَنَ اسْتَبَدَّ وعَشَنَ واعْتَشَنَ ظَنَّ واعْتَشَنَ عليه باطِلاً قَرَفَه به [واعْتَشَنَ]ني واثَبَني في غيرِ حَقٍّ  ودَهَاني بجُرْمٍ لم أشْعُرْ به؛ أيضاً
شعن,2, مُشْعَانُ مَشْعُوْنٌ,3,no vowel, *شعن*	 أهْمَلَه الخَليلُ  وحَكى الخارْزَنْجِيُ هو مُشْعَانُ الرأْس أي مُنْتَفِشُه شَعِثُه ومَجْنونٌ مَشْعُوْنٌ  على الإتْبَاع العين والشين والفاء
شعف,14, شَعَفَةُ شَعَفَني شَعَفَها المَشْعُوْفُ والشعَافُ وشَعَفَاتُ وشَعَفُها شَعَفَاتِ الشَّعَفَةَ والشعَفُ شَعِفَتْ والشًعْفَةُ الشعْفَةُ بِشَعْفَيْنِ,3,no vowel, *شعف*	 شَعَفَةُ القَلْبِ رَأْسُه عِنْدَ مُعلقِ النياط ومنه [شَعَفَني] حُبه وقيل [شَعَفَها] حُباً أيضاً وفي لُغَةٍ  المَشْعُوْفُ المَجْنون والشعَافُ الجُنُوْن وشَعَفَاتُ الأثَافي وغَيْرِها؛ [وشَعَفُها] أيضاً رُؤوسها وضَرَبَه على شَعَفَاتِ رأسِه وهي شَعَرُه المُحِيْطُ برَأسِه ويُسمى الوَبَرُ في أعْلى السنَام الشَّعَفَةَ أيضاً والشعَفُ دَاءٌ يَتَمَعًطُ منه خُرْطومُ النوقِ خاصةً وشَعَر عَيْنَيْها وقد شَعِفَتْ والشًعْفَةُ المَطْرَةُ الهَيٌنَة وفي المَثل ما تَفْعَلُ الشعْفَةُ في الوادي الرغُب فأما المَثلُ الآخَرُ لكِنْ بِشَعْفَيْنِ أنْتِ جدُوْدٌ فهو مَوْضِع
شفع,13, الشفْعُ الشفَاعُ الشّافِعُ شَافِع شَفَعَها وشَفَعَتْه الشفْعُ والشّافِع شَفْعاً والشّافِعُ والشَفِيْعُ شَفُوْعٌ يَشْفَعُ,3,no vowel, *شفع*	 الشفْعُ من العَدَدِ الزَوْجُ والجَميعُ الشفَاعُ وكذلك الشّافِعُ وفي الحَديث أتِيَ بِشَاةٍ [شَافِع]  أي [شَفَعَها] وَلَدُها [وشَفَعَتْه] والمصدرُ الشفْعُ - بكسْر الشين -؛ كالضرِّ من الضرة [والشّافِع] من الضأْنِ كالتَّيْس من المِعْزى  وقيل هو أيضاً  التَيْسُ بعَيْنه وأرى انه الذي إِذا ألْقَحَ ألْقَحَ شَفْعاً لا وِتْراً [والشّافِع]ُ والشَفِيْعُ - جَميعاً - الطًالِبُ لِغَيْره ونَاقَةٌ شَفُوْعٌ  تَجْمَعُ بَيْنَ مِحْلَبَيْن وهو يَشْفَعُ لي بالعَداوة أي يُعِيْن والشَّفَائعُ ألْوانُ الرعْي يَنْبُتُ اثْنَيْنِ اثْنَيْن العين والشين والباء
عشب,18, عَشَبٌ عَشُبَ يَعْشُبَُ وعُشُوْبَة والعُشْبُ والتًعَاشِيْبُ عشبَةٌ ومُعْشِبَةٌ العَشابةِ عَشِبَتِ واعْشَوْشَبَتْ عُشْبُها واعْشَوْشَبوا عُشْبَاً والعَشَبُ عَشَبَةٌ عَشَبةٌ والعَشَبَةُ,3,no vowel, *عشب*	 رجُل عَشَبٌ  قَصيرٌ في دمَامَةٍ وذلة ويُقال عَشُبَ يَعْشُبَُ [وعُشُوْبَة] والعُشْبُ الكَلأ الرطْبُ والتًعَاشِيْبُ منه جَمْعٌ لا واحِدَ له عشبَةٌ ومُعْشِبَةٌ  بينَةُ العَشابةِ ولا يُقال عَشِبَتِ الأرْضُ واعْشَوْشَبَتْ كَثُرَ [عُشْبُها] وطَالَ وأعْشَبَ القَوْمُ [واعْشَوْشَبوا] أي صادَفوا عُشْبَاً والعَشَبُ الكِبَارُ المُسِنَّةُ من كُل شيْءٍ الواحِدُ عَشَبَةٌ  وما أنْتَ إلا عَشَبةٌ  لليابِس من الهُزال والعَشَبَةُ الخَشَبَةُ الجافِيَةُ المُلْتَويَة
شعب,39, شَعَبْتُ شَعْبُهُمْ َشَعْبُهم والشَعْبُ يَشْعَبُه الشَعَّابُ والشُّعْبَةُ يَشْعَبُ والمِشْعَبُ والشُعْبَةُ الشُعب الشِّعَاب وشَعَبَ شُعْبَةً والشَعْبَة شُعْبَتي والشَعْبُ الشُّعُوْبُ والشُعُوْبِيُّ والشَعْبُ- وشَعَبَتْه شَعُوْبُ؛ وانْشَعَبَ وشَعُوْبُ الشعًوْبُ وشَاعَبَ شَاعَبْتُه الشَعْبُ الشَعْبِ الشًعَبُ والشَعَابُ مَشْعُوْبٌ وشَعْبَانُ شَعَابِيْنُ والشَعِيْبُ اشْتُعِبَ وشَعْبٌ وشَعِبْتُ شَعُوْبٌ,3,no vowel," *شعب*	"" شَعَبْتُ بَيْنَ الحَيَ فَرقْتَ بينهم وأصْلَحْتَ أيضاً والْتَام شَعْبُهُمْ أي اجْتَمَعوا بَعْدَ تَفَرقٍ  وتَفَرَّق َشَعْبُهم افْتَرقوا بعد اجْتِماعً والشَعْبُ الصَدْعُ [[يَشْعَبُ]ه] الشَعَّابُ والشُّعْبَةُ ما يَشْعَبُ به والمِشْعَبُ المِثْقَبُ والشُعْبَةُ الطّائِفَةُ من الشَّيْء والجَانِبُ والطَّريْقَة والحَالَةُ حَتّى يُقال لأقْطارِ الفَرَس وأغْصَانِ الشَّجَرَة [الشُعب] ولِعُرُوْقِ الضَرْع [الشِّعَاب] وشَعَبَ من العًنْقُوْدِ شُعْبَةً قَطَعَها [والشَعْبَة] ُ- أيضاً - المَسِيْلُ في الارتفاع إلى قَرَارَةِ الرَّمْل وصَدْعٌ في الجَبَل تأوي إليه الطِّيْرُ والخَشَبَةُ تُنْصَبُ للجَرْبى لِتَحْتَكً بها ويُقال جَلَسَ بَيْنَ [شُعْبَتي] المرْأةِ أي بين رِجْلَيْها والشَعْبُ  ما تَفَرقَ من قَبائل العَرَبِ والعَجَم والجَميعُ الشُّعُوْبُ والشُعُوْبِيُّ الذي يُصَغِّرُ شأنَ العَرَب ولا يَرى لهم فَضْلاً على غيرِهم والشَعْبُ- أيضاً- ما انْفَرَجَ بَيْنَ جَبَلَيْن ونحوهِما [وشَعَبَ]تْه شَعُوْبُ؛ فأشْعَبَ وانْشَعَبَ أمَاتَه المَوْتُ فَمَاتَ قال الخَليلُ  وشَعُوْبُ اسْمٌ مَعْرِفَةٌ لا يَنْصَرِفُ وحَكى أبو حَاتِم  الشعًوْبُ بالألفِ واللام أيضاً وشَاعَبَ أدنَفَ وقيلَ [شَاعَبْتُه] قابَلْتَه  والأشْعَبُ الطَوْيلُ والبَعْيدُ ما بَيْنَ المَنْكِبَيْن والفَرَسُ المُنْفَرِجُ ما بين الرجْلَيْن والظَّبْيُ البَعيدُ ما بينَ القَرْنَيْن ومِثْلُه الشَعْبُ قال امرؤ القَيْس وأحْوى سَلِسُ المَرْسِنِ		مِثْلُ الصَّدَع الشَعْبِ والمَصْدرُ منها الشًعَبُ وأشْعَبَا الضَبً ذَكَرَاه  وفي المَثَل  لا أطْمَعُ من أشْعَبَ  اسْم رَجُلٍ والشَعَابُ سِمَةٌ في طُول الفَخِذِ خَطّانِ يُلاقى بَيْنَ طَرَفَيْها الأعْلَيَيْن والأسْفَلانِ مُتَفَرقان والبَعيرُ مَشْعُوْبٌ  وشَعْبَانُ اسْمُ شَهر والجَميعُ شَعَابِيْنُ وحَي من الأحْياء والشَعِيْبُ السقَاءُ وقيل المَزَادَةُ والغَرِيْبُ وأرى أنَه من اشْتُعِبَ أي انْتُزِعَ وشَعْبٌ  حي من هَمْدان وحُفْرَةٌ شَعْبَاءُ بَعيدةُ القَعْر وشَعِبْتُ الكَبْشَ كَمَمْتَه بِكِمَامٍ تَمْنَعُه من السِّفاد وشَعَبْعَبُ ماءٌ  أو مَوْضِعٌ  وقَصْرٌ شَعُوْبٌ  قَصْرٌ مَوْصوفٌ بالارتِفاع والحَصَانَة """
شبع,10, الشِّبْع يُشْبعُ والشٌبَعُ والشَّبْعُ وتَشَبعَ وتَشَبًعُوا شَبِع والشُبَاعَةُ الشَبَع وشُبَاعَة,3,no vowel, *شبع*	 [الشِّبْع] القدْرُ الذي يُشْبعُ به  والشٌبَعُ والشَّبْعُ المَصْدَر وكُلّ ما وَفَّرْتَه من صِبْغٍ وغيرِه فقد أشْبَعْتَه وتَشَبعَ به تَكَثَرَ [وتَشَبًعُوا] أكَلوْا أكلاً على إثْرِ أكْلٍ وسَهْمٌ [شَبِع] قَتُوْلٌ  والشُبَاعَةُ  الفضَالَةُ بعْدَ [الشَبَع] [وشُبَاعَة] اسْمٌ من أسْمَاءِ زَمْزَمَ
بشع,12, البَشِعُ بَشع بَشِعَ بشعاً وبَشَاعَةً وبَشِعَ بَشِعٌ بَشِعَة بَشِعٌ بَشِعُ وبَشِعُ والبَشِعُ,3,no vowel, *بشع*	 البَشِعُ طَعْمٌ كَرِيْه فيه حُفُوْفٌ ومَرَارَةٌ  ورَجلٌ [بَشع] كَرِيْهُ رِيْح الفَم وقد بَشِعَ بشعاً وبَشَاعَةً وبَشِعَ الوادي بهم ضَاقَ ورَجُل بَشِعٌ  غَليظ الجِسْم وخَشَبَة [بَشِعَ]ة كَثِيْرَةُ الأبَن وثَوْبٌ بَشِعٌ  خَشِن وهو بَشِعُ الوَجْهِ عَابِسُه وبَشِعُ النَّفْس خَبيثُها والبَشِعُ البَخِيْلُ في وَخَامَةٍ  وأكَلْتُ طَعاماً فَأبْشَعَني  أي اتْخِمْتُ منه العين والشين والميم
شعم,1, الشُّعْمُوْمُ,3,no vowel, *شعم*	 أهْمَله الخَليل وحَكى الخارْزَنْجِيُّ الشُّعْمُوْمُ الطَويل قال وحُكِيَ بالغَيْنِ مُعْجَمَةً
عمش,8, العَمَشُ وتَعَامَشْتُ والعَمْشُ- عَمْش عَمْشٌ وعَمَشْتُه عَمْشٌ والعُمْشُوْشُ,3,no vowel, *عمش*	 العَمَشُ إلا تَزالَ العَيْنُ تُسِيْلُ دَمْعاً وتَعَامَشْتُ عن الأمر تَعَامَيْت والعَمْشُ- جَزْمٌ - ما فيه صَلاَحٌ للبَدَنِ يُقال هذا طَعَامٌ [عَمْش] لك والخِتَانُ [عَمْش]ٌ للصَبِي [وعَمَشْتُه] بالعَصا وغَيْرِه ضَرَبْتَه به في اسْتِعْرَاض من غَيْرِ تَعمُدٍ  وخَبْطُ الوَرَقِ  [عَمْش]ٌ أيضاً والعُمْشُوْشُ العُنْقُوْدُ إذا أكِلَ ما عليه
عشم,10, العَيْشُوْمُ والعَيْشَمُ عَشِمَ عَشَماً وعُشُوْماً عَشَمَةٌ والعَشَمَةُ والعَشَمُ وعَشًمَ تَعْشِيْماً,3,no vowel, *عشم*	 العَيْشُوْمُ ما هَاجَ من الحُماض ويَبِسَ ونَبْتٌ طَويلٌ دُقَاقٌ تُعْمَلُ منه الحُصُرُ وشَجَرَ صَوْتُه إذا وَقَعَتْ فيه الريْحُ كَصَوْتِ الأثْل؛ وهو يُشْبِهُه أيضاً والعَيْشَمُ مِن عَشِمَ الخُبْزُ عَشَماً وعُشُوْماً خَنِزَ وفَسَدَ وعَلَتْه خُضْرَة ورَجُل عَشَمَةٌ  مُسِن ويابِسٌ من الهُزَال أيضاً والعَشَمَةُ الكَبيرةُ من النَعَاِج وشَاةٌ عَشْمَاءُ بَيْضاءُ المَرَمًةِ وشجَرَة عَشْمَاءُ خَلِيْس يابسها أكْثَرُ من رَطْبِها والأعْشَمُ كل لَوْنَيْنِ اخْتَلَطا والعَشَمُ الطًمَعُ عن أبي سَعِيْدٍ وحَكاه الخَليْل بالسًيْن غَيْرِ مُعْجَمَة وعَشًمَ المَالُ تَعْشِيْماً كَثُرَ
شمع,10, الشَمْعُ والشًمَعُ والشمَعُ والشمُوْعُ شَمَعَتْ شِمَاعاً وشَمَعَ شُمُوْعاً مَشْمُوْعٌ شِمَعاً,3,no vowel, *شمع*	 يُقال الشَمْعُ والشًمَعُ والشمَعُ وأشْمَعَ السراج سَطَعَ نُوْرُه والشمُوْعُ الجارِيَةُ الحَسَنَةُ الحَديثِ الطيبَةُ النَفْس وقيل الضَحوكُ المَزاحَةُ وقد شَمَعَتْ شِمَاعاً وشَمَعَ شُمُوْعاً تَفَرقَ ومِسْكَ مَشْمُوْعٌ شِمَعاً  مَخْلُوْطَ بالعَنْبَر
مشع,11, مَشَعْتُ مَشْعَاً والتَّمَشُعُ ومَشَعَ ومَشَعَ ومَشَعَه ومَشَعَ وامْتَشَعَ وامْتَشِعْ مَشَعَ والامْتِشَاعُ,3,no vowel, *مشع*	 مَشَعْتُ القثَّاءةَ مَشْعَاً مَضَغْته والتَّمَشُعُ  الاسْتِنْجَاءُ بالحجارةِ خاصَّةً ومَشَعَ كَسَبَ ومَشَعَ بِبَوْلي ومَنِيه حَذَفَ  [ومَشَعَ]ه بالحَبْل وغَيْرِه  ضَرَبَه ومَشَعَ جَميعَ ما في ضَرْع الناقَة؛ وامْتَشَعَ حَلَبَ وامْتَشِعْ منه ما مَشَعَ لك أي خُذْ ما وَجَدْتَ والامْتِشَاعُ اسْتِخْراجُ السيْفِ من الغِمْد العين والضاد العين والضاد والطاء
ضعط,1, ضَعَطَهُ,3,no vowel, *ضعط*	 مُهْمَلٌ عند الخَليل  وحكى الخارزنجي عن أبي سَعيدٍ  ضَعَطَهُ إذا ذَبَحَه ومِثْلُه ذَعَطَه العين والضاد والدال
عضد,48, عَضْدٌ وعُضْدٌ وعَضُدٌ وعَضِدٌ والعَضِدُ العَضد عَضُدَيْه وعَضُدُ عَضُدٌ وعَضُدُ والعَضْدُ عَضدَه عَضُده والعَضَدُ العَضُد وعضَدْتُ عَضْداً عَضَدٌ وعَضَدَ والعَضَادي والعَضَادُ عَضَادٌ العَضُدِ العَضُد عَضَاديٌ وعُضَادي والعَضَادُ عَضَادُ والعَاضِدُ العَضِدُ والعَاضِدَتانِ والعِضَادُ العَضُد وعَضَدْتُ عِضَادةً وعِضَادَتا وعِضَادَتا والعِضَادُ والمِعْضَادُ والمِعْضَدُ والعِضادَتانِ والمِعْضدَةُ والعَضِيْدُ- عِضْدَانٌ واليَعْضِيْد والمُعَضَدُ عُضَد العَضُدِ,3,no vowel, *عضد*	 عَضْدٌ وعُضْدٌ وعَضُدٌ وعَضِدٌ بالكَسْر أيضاً والأعْضَدُ والعَضِدُ الدَقِيْقُ [العَضد] والني إحْدى [عَضُدَيْه] أقْصَرُ من الأخرى وعَضُدُ الحَوْض من إزائه إلى عُقْرِه وأعْضادُ كُل شي ما يُسَدُ من حَوالَيْه من البناء وغيره? مثلُ أعْضَادِ الحَوُض وهي صَفَائحُ من حجارةٍ يُنْصَبْنَ حول شَفِيْره الواحِدُ عَضُدٌ ومثْلُ أعْضَادِ الدَيَار جُدرُه وعَضُدُ الرحْل خَشَبَتانِ لَزِيْقَتانِ بالواسِطَةِ بأسْفَلِها والعَضْدُ المَعُوْنَةُ وقد [عَضدَه] وأخو الرًجُلَ [عَضُده] والعَضَدُ داءٌ في [[[العَضُد]]] وقيل هو في الإبلخاصَةً وعضَدْتُ الشَجَرَ عَضْداً قَطَعْته والشَجَرُ عَضَدٌ  وعَضَدَ السهْمُ مَالَ عن الهَدَف [والعَضَادي] - مُخَفًفُ الياء- والعَضَادُ القَصِيْرُ المُكَتَلُ وامرأةٌ عَضَادٌ  غَليظةُ [[[العَضُد]]]ِ سَمْجَتُها النَسْبَةِ إلى غِلَظِ [[[العَضُد]]] عَضَاديٌ [وعُضَادي] بالضَم أيضاً والعَضَادُ البَطيءُ المَشْي وهو عَضَادُ مَالً خِلافُ   إزاؤه   والعَاضِدُ الجَمَلُ يأخُذُ بِعُنُق الناقةِ فَيَتَنوخُها والسائِقُ سَوْقاً حَثِيْثاً وكذلك العَضِدُ والعَاضِدَتانِ جَانِبا الشرَاك والعِضَادُ سِمَةَ في [[[العَضُد]]] وعَضَدْتُ الرحْلَ جَعَلْتَ له عِضَادةً [[وعِضَادَتا]] البَابِ مِسَاكانِ عليهما تَطْبِيْقُ البابِ إذا أسْفِقَ [[وعِضَادَتا]] الإبْزِيْم  من جَانِبَيْه والعِضَادُ والمِعْضَادُ والمِعْضَدُ الدُّمْلُجُ وسَاطُوْرُ القَصّاب والسيْفُ الكَهَام وحَدِيْدَةٌ كالمِنْجَل يَهْصِرُ بها الرّاعي فرُوْعَ الشَّجَر على إبِله والعِضادَتانِ العُوْدَانِ في نِيْرِ الثوْر والمِعْضدَةُ هِمْيَانُ الدَّراهم والعَضِيْدُ- وجَمْعُه عِضْدَانٌ - الجَبّارُ من النَّخْل [واليَعْضِيْد] بَقْلَة مُرًةٌ تُؤْكَلُ في الرَّبيع والمُعَضَدُ من الثِّيَابِ المُضَلعُ الذي فيه [عُضَد] صُفْر ويُقال الأعَاضِيْدُ أيضاً يَعْني الوَشْيَ وحُكِيَ عنهم إِذا نَخَرَت الريْحُ من هذه [[[العَضُد]]]ِ أتاكَ الغَيْث يَعْني ناحِيةَ اليَمَن العين والضاد والراء
ضرع,27, الضَّرَعُ ضَرُعَ ضَرَاعَةً الضرِيْع ضَرَعٌ ضَرَعٌ ضَارعٌ ضارع ضَارعٌ ضَرَعَ ضَرَعاً تَضَرَّعَ ضَرَعَةٌ والضًرِيْعُ ضَريعَةٌ الضَّرْع الضرْع مُضْرِعٌ والضرعُ ضرْعٌ والمُضَارعُ وضرًعَتِ وضَرع وضرعَتِ وتَضَرع والتًضَرُعُ والتَضْرِيْعُ,3,no vowel, *ضرع*	 الضَّرَعُ الغُمْرُ الضعِيْفُ وقد ضَرُعَ ضَرَاعَةً والضَعِيْفُ الصغيرُ أيضاً ومِثْلُه [الضرِيْع] ورَجُلٌ ضَرَعٌ وقومٌ ضَرَعٌ  وخده ضَارعٌ جَنْبُه [ضارع] وهو ضَارعٌ  وقد ضَرَعَ ضَرَعاً أي تَضَرَّعَ وقَوْمٌ [ضَرَعَ]ةٌ  والضًرِيْعُ يَبِيْسُ العِشْرِقِ وقيل يَبِيْسُ كل شَجَرةٍ  ونَبَاتٌ أخضَرُ مُنْتِنُ الريح يَرْمي به البَحْر والشَرابُ الرقيق والجِلْدَةُ التي على العَلم تحت اللَحْم من الضلَع ونَبْتٌ في الماء الآجِنِ له عُرُوقٌ لا تَصِل إلى الأرض وشاة ضَريعَةٌ  عَظيمةُ [الضَّرْع] وحَسَنَةُ [الضرْع] أيضاً وأضْرَعَتِ الناقةُ وهي مُضْرِعٌ لِقُرْبِ النتَاج عند نُزول اللَبَن والضرعُ للشاة والبقرة ونحوِهما ومنهم مَنْ يجعلُه لكل دابةٍ  ويُقال ما لَهُ زَرْعٌ ولا ضرْعٌ والمُضَارعُ للشيْء المُشابِهُ له وضرًعَتِ الشَمسُ دَنَتْ من الغُروب أو غَابَتْ وقد تُخَفَفُ ويُسْتَعمل في غيرها مما يدنو هو أو شَيْءٌ منه [وضَرع] الرُب إذا طَبَخْتَ العَصِيْر فلم يَتمّ طَبْخُه وضرعَتِ القدْرُ حان إدراكُها [وتَضَرع] الظل قَلَصَ وقل والتًضَرُعُ والتَضْرِيْعُ التَقَرُبُ في حُيُوْد
رضع,25, رَضِعَ ورَضَعَ رَضَاعَةً ورَضَاعاً راضِعٌ ورَضِيْعٌ مُرْضع ومُرْضِعَةٌ مُرْضِعاً رَاضِعٍ ورَضِيع ورَضاعٌ رَضُعَ يَرْضُعُ رَضَاعَةً ورَضَعَ يَرْضَعُ راضِعٌ يَرْضَعُ والراضِعَتَانِ والرضُوْعَةُ تُرْضِعُ والرضَاعَةُ رَضِعَتْ والرضْعُ,3,no vowel, *رضع*	 رَضِعَ الصبِيُ ورَضَعَ رَضَاعَةً ورَضَاعاً وهو راضِعٌ ورَضِيْعٌ  وألامُ [مُرْضع] ومُرْضِعَةٌ  واسْتَأجَرْنا مُرْضِعاً أي ظِئْراً? كأنًه اسمٌ لها? بغيرِ هاءٍ ولَئِيْمٌ رَاضِعٍ [ورَضِيع] ورَضاعٌ وقد رَضُعَ يَرْضُعُ رَضَاعَةً ورَضَعَ بالفتح أيضاً ونُعِتَ به لأنه يَرْضَعُ الناقةَ لئلا يُسْمَعَ شُخْبُ اللبَن فَيُسْتَسْقى وقيل لَئِيْمٌ راضِعٌ  هو الذي يَرْضَعُ الناسَ أي يَسْألهم والراضِعَتَانِ من الأسْنَانِ اللَتانِ شُرِبَ عليهما اللبَن والرضُوْعَةُ التي تُرْضِعُ كالحَلُوْبة والرضَاعَةُ اسْم للدبُوْرِ وقيل لِرِيْح بينَ الدَبُوْرِ والجَنُوْب وذلك لأنها إذا هًبَتْ على اللقَاح [رَضِعَ]تْ ألْبانُها أي قَلَّتْ والرضْعُ شَجَر تَرْعاه الإبلُ
عضر,3, العَضْرُ وعَضَر عَضْرَةً,3,no vowel, *عضر*	 العَضْرُ حَي من اليَمَن [وعَضَر] َبكَلِمة بَاحَ بها وسَمِعْتُ عَضْرَةً أي خَبَراً
